Price,Emission Class_Euro 6,Registration_Year,Mileage(miles),Previous Owners,Emission Class_Euro 4
2950,False,2006,34050,,True
6950,True,2018,53000,,False
8150,True,2016,66000,,False
2000,False,2008,112638,2.0,True
2990,False,2011,49000,2.0,False
3995,False,2007,69920,,True
3295,False,2004,73328,,True
3950,False,2010,118000,3.0,True
999,False,2007,111400,2.0,True
8975,True,2017,86500,,False
9149,True,2016,55301,,False
3250,False,2009,80653,3.0,True
3990,False,2009,26500,3.0,True
9599,True,2013,89890,5.0,False
2700,False,2007,96166,5.0,True
1950,False,2009,167574,,True
4495,False,2006,72000,3.0,True
2000,False,2006,125000,5.0,True
2495,False,2004,103000,,True
1495,False,2007,115000,4.0,True
890,False,2004,145000,,False
2495,False,2010,149000,1.0,False
10198,True,2016,50028,,False
6900,True,2016,70189,3.0,False
1999,False,2006,137724,,True
1490,False,2004,32000,3.0,False
4450,False,2004,93000,,False
5000,False,2012,59000,2.0,False
10744,True,2017,64600,,False
6300,False,2009,139000,4.0,False
12599,True,2018,29000,2.0,False
2889,False,2008,100000,,True
2900,False,2006,36000,3.0,True
1895,False,2007,173000,,True
1750,False,2010,130000,4.0,True
10000,True,2017,46923,3.0,False
9600,True,2016,56984,4.0,False
995,False,2003,62807,2.0,False
2745,False,2011,78000,,False
4480,False,2010,34000,2.0,True
2449,False,2004,57000,,True
3295,False,2013,77106,1.0,False
2450,False,2010,93000,4.0,True
2999,False,2012,130000,,False
7499,True,2016,41200,,False
4390,False,2011,102000,1.0,False
6499,False,2013,83000,3.0,False
2799,False,2011,99061,,False
9149,True,2016,55301,,False
15900,True,2019,62402,1.0,False
2000,False,2011,76833,3.0,False
3800,False,2013,92000,3.0,False
1499,False,2009,49970,2.0,True
3890,False,2010,94300,,False
6700,False,2012,49600,,False
3950,False,2009,112000,,True
5999,False,2012,79700,3.0,False
6495,True,2016,63495,4.0,False
1999,False,2003,138000,6.0,False
2845,False,2013,89181,,False
2995,False,2003,74700,4.0,False
4500,False,2013,97153,4.0,False
3250,False,2008,125000,,True
3499,True,2015,56285,1.0,False
4800,False,2006,84500,3.0,True
4499,False,2013,108000,,False
7500,False,2021,77000,3.0,False
3699,False,2014,120300,3.0,False
2500,False,2006,153000,3.0,True
2495,False,2010,149000,1.0,False
9149,True,2016,55301,,False
9600,True,2016,56984,4.0,False
2775,False,2007,115961,,True
1499,False,2008,52000,,True
5950,False,2008,87000,1.0,True
3295,False,2012,84131,4.0,False
4490,True,2015,125998,,False
6289,False,2014,74527,,False
5950,True,2016,56250,1.0,False
5500,False,2010,71000,5.0,False
7999,True,2015,45000,,False
2490,False,2007,38563,2.0,True
798,False,2008,140599,,True
10698,True,2020,22782,,False
19800,True,2019,69690,1.0,False
4995,False,2014,91000,,False
9200,True,2015,48650,4.0,False
4500,False,2007,47000,3.0,False
4490,False,2012,12500,1.0,False
5999,False,2014,27500,,False
2599,False,2006,83800,1.0,True
1950,False,2010,170000,3.0,False
1499,False,2003,109000,6.0,True
2800,False,2009,80000,2.0,True
3750,False,2010,61000,3.0,True
1750,False,2010,130000,4.0,True
19800,True,2019,69690,1.0,False
10198,True,2016,50028,,False
4940,True,2015,58998,1.0,False
7250,False,2014,57000,3.0,False
3290,False,2011,152000,4.0,False
3275,False,2013,55000,4.0,False
2495,False,2008,92200,2.0,True
4495,False,2012,185000,5.0,False
3000,False,2006,135607,5.0,True
5500,False,2014,97000,2.0,False
